Distance,TimeMs,Speed,Throttle,Brake,Steer,nGear
267.47265625,3923,281,0.0,49.60275888442993,-0.0,0
269.94921875,3956,277,0.0,100.0,-0.0,0
272.390625,3988,273,0.0,100.0,-0.0,0
274.7890625,4020,268,0.0,100.0,-0.0,0
277.1484375,4053,264,0.0,100.0,-0.0,0
279.47265625,4085,260,0.0,100.0,-0.0,0
281.7578125,4118,255,0.0,100.0,-0.0,0
284.00390625,4150,251,0.0,100.0,-0.0,0
286.203125,4183,247,0.0,100.0,-0.0,0
288.359375,4215,242,0.0,100.0,-0.0,0
290.48046875,4247,238,0.0,100.0,-0.0,0
292.5703125,4280,234,0.0,100.0,-0.0,0
294.62109375,4312,230,0.0,100.0,0.01966768316924572,0
296.640625,4345,226,0.0,100.0,0.03650934249162674,0
298.62109375,4377,221,0.0,100.0,0.055934272706508636,0
300.5625,4409,217,0.0,100.0,0.026583995670080185,0
302.4765625,4442,213,0.0,100.0,-0.0,0
304.35546875,4475,209,0.0,100.0,-0.0,0
306.20703125,4507,205,0.0,100.0,-0.0,0
308.03125,4540,200,0.0,100.0,-0.0,0
309.8359375,4573,196,0.0,100.0,-0.0,0
311.609375,4607,193,0.0,100.0,-0.0,0
313.34375,4640,189,0.0,100.0,-0.0,0
315.03515625,4673,186,0.0,100.0,-0.0,0
316.6875,4706,182,0.0,100.0,-0.0,0
318.3046875,4739,178,0.0,100.0,-0.0,0
319.87890625,4772,174,0.0,100.0,-0.0,0
321.3984375,4805,171,0.0,100.0,-0.0,0
322.88671875,4837,167,0.0,100.0,-0.0,0
324.34765625,4870,164,0.0,100.0,-0.0,0
325.80859375,4902,160,0.0,100.0,-0.0,0
327.25,4935,159,0.0,100.0,-0.0,0
328.66015625,4968,156,0.0,100.0,-0.0,0
330.0390625,5001,153,0.0,100.0,-0.0,0
331.38671875,5033,149,0.0,100.0,-0.0,0
332.70703125,5066,146,0.0,100.0,-0.0,0
334.0,5099,142,0.0,100.0,-0.0,0
335.25,5132,139,0.0,100.0,-0.0,0
336.47265625,5165,136,0.0,100.0,-0.0,0
337.6796875,5197,133,0.0,100.0,-0.0,0
338.87109375,5230,130,0.0,100.0,-0.0,0
340.0390625,5263,128,0.0,100.0,-0.0,0
341.1875,5296,125,0.0,100.0,-0.0,0
342.32421875,5330,123,0.0,100.0,0.029460355639457703,0
343.43359375,5363,121,0.0,100.0,0.06255903840065002,0
344.51953125,5396,119,0.0,100.0,0.09482418745756149,0
345.5859375,5429,117,0.0,100.0,0.12657515704631805,0
346.63671875,5463,114,0.0,100.0,0.1577598601579666,0
347.66796875,5496,112,0.0,100.0,0.1885003298521042,0
348.6796875,5529,110,0.0,100.0,0.21888691186904907,0
349.66796875,5563,108,0.0,100.0,0.16875162720680237,0
350.640625,5596,106,0.0,100.0,0.11605092138051987,0
351.59375,5629,103,0.0,100.0,0.06630051136016846,0
352.51953125,5663,101,0.0,100.0,0.019283872097730637,0
353.41796875,5696,99,0.0,100.0,-0.0,0
354.28125,5729,97,0.0,100.0,0.020963363349437714,0
